           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	            195	       0.661577	         2.9834	  7.1835417828e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            196	       0.661577	        3.11035	  7.1884064480e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            197	       0.661577	         3.2373	  7.1935064649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            198	       0.661577	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            199	       0.661577	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            200	       0.661577	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            201	       0.661577	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            202	       0.661577	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            203	       0.661577	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            206	       0.808594	      0.0634766	  7.0870626107e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            207	       0.808594	        0.19043	  7.0913516425e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            208	       0.808594	       0.317383	  7.0956519437e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            209	       0.808594	       0.444336	  7.0999636056e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            210	       0.808594	       0.571289	  7.1042866321e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            211	       0.808594	       0.698242	  7.1086211153e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            212	       0.808594	       0.825195	  7.1129670243e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            213	       0.808594	       0.952148	  7.1173244515e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            214	       0.808594	         1.0791	  7.1216934370e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            215	       0.808594	        1.20605	  7.1260348155e+000	  0.0000000000e+000	  0.0000000000e+000	
